"","date_correct_format","price","quantity"
"V927","2016-07-02","6.992","956"
"V928","2016-07-03","6.909","939"
"V929","2016-07-04","7.251","1054"
"V930","2016-07-05","8.436","832"
"V931","2016-07-06","8.638","905"
"V932","2016-07-07","8.762","800"
"V933","2016-07-08","8.985","813"
"V934","2016-07-09","9.077","811"
"V935","2016-07-10","8.329","969"
"V936","2016-07-11","8.41","773"
"V937","2016-07-12","8.856","631"
"V938","2016-07-13","9.289","618"
"V939","2016-07-14","8.589","709"
"V940","2016-07-15","8.736","661"
"V941","2016-07-16","8.97","623"
"V942","2016-07-17","8.865","552"
"V943","2016-07-18","8.892","628"
"V944","2016-07-19","8.967","594"
"V945","2016-07-20","8.729","602"
"V946","2016-07-21","8.593","542"
"V947","2016-07-22","8.566","563"
"V948","2016-07-23","8.491","548"
"V949","2016-07-24","8.417","548"
"V950","2016-07-25","8.294","597"
"V951","2016-07-26","8.519","611"
"V952","2016-07-27","8.641","616"
"V953","2016-07-28","8.828","534"
"V954","2016-07-29","8.698","639"
"V955","2016-07-30","8.707","598"
"V956","2016-07-31","8.735","567"
"V957","2016-08-01","8.703","559"
"V958","2016-08-02","8.679","650"
"V959","2016-08-03","8.698","561"
"V960","2016-08-04","8.441","526"
"V961","2016-08-05","8.269","528"
"V962","2016-08-06","8.097","589"
"V963","2016-08-07","7.901","558"
"V964","2016-08-08","7.77","638"
"V965","2016-08-09","7.896","580"
"V966","2016-08-10","7.557","576"
"V967","2016-08-11","7.625","614"
"V968","2016-08-12","7.892","580"
"V969","2016-08-13","8.066","519"
"V970","2016-08-14","7.846","576"
"V971","2016-08-15","7.994","563"
"V972","2016-08-16","8.086","576"
"V973","2016-08-17","8.142","599"
"V974","2016-08-18","8.191","576"
"V975","2016-08-19","8.366","839"
"V976","2016-08-20","8.774","861"
"V977","2016-08-21","8.857","710"
"V978","2016-08-22","8.706","671"
"V979","2016-08-23","8.671","592"
"V980","2016-08-24","8.456","572"
"V981","2016-08-25","8.415","566"
"V982","2016-08-26","8.629","600"
"V983","2016-08-27","8.615","590"
"V984","2016-08-28","8.781","631"
"V985","2016-08-29","8.994","608"
"V986","2016-08-30","8.842","691"
"V987","2016-08-31","8.991","655"
"V988","2016-09-01","9.071","567"
"V989","2016-09-02","9.081","583"
"V990","2016-09-03","8.909","675"
"V991","2016-09-04","8.824","619"
"V992","2016-09-05","8.82","545"
"V993","2016-09-06","8.913","461"
"V994","2016-09-07","8.66","542"
"V995","2016-09-08","8.92","517"
"V996","2016-09-09","8.879","619"
"V997","2016-09-10","8.896","695"
"V998","2016-09-11","8.894","637"
"V999","2016-09-12","8.87","523"
"V1000","2016-09-13","8.698","455"
"V1001","2016-09-14","8.811","447"
"V1002","2016-09-15","8.91","486"
"V1003","2016-09-16","8.835","598"
"V1004","2016-09-17","8.894","691"
"V1005","2016-09-18","8.92","645"
"V1006","2016-09-19","8.966","421"
"V1007","2016-09-20","8.959","432"
"V1008","2016-09-21","8.942","404"
"V1009","2016-09-22","8.899","454"
"V1010","2016-09-23","8.309","632"
"V1011","2016-09-24","8.372","653"
"V1012","2016-09-25","8.439","597"
"V1013","2016-09-26","8.639","454"
"V1014","2016-09-27","9.058","399"
"V1015","2016-09-28","8.974","442"
"V1016","2016-09-29","8.9","473"
"V1017","2016-09-30","8.987","528"
"V1018","2016-10-01","9.084","658"
"V1019","2016-10-02","9.055","590"
"V1020","2016-10-03","8.861","466"
"V1021","2016-10-04","8.999","395"
"V1022","2016-10-05","9.037","411"
"V1023","2016-10-06","8.938","424"
"V1024","2016-10-07","8.826","644"
"V1025","2016-10-08","8.866","716"
"V1026","2016-10-09","8.626","643"
"V1027","2016-10-10","8.69","486"
"V1028","2016-10-11","8.931","415"
"V1029","2016-10-12","8.885","417"
"V1030","2016-10-13","8.817","448"
"V1031","2016-10-14","8.793","456"
"V1032","2016-10-15","8.794","523"
"V1033","2016-10-16","8.606","574"
"V1034","2016-10-17","8.507","457"
"V1035","2016-10-18","8.445","339"
"V1036","2016-10-19","8.465","349"
"V1037","2016-10-20","8.479","393"
"V1038","2016-10-21","8.442","451"
"V1039","2016-10-22","8.546","545"
"V1040","2016-10-23","8.664","501"
"V1041","2016-10-24","8.577","405"
"V1042","2016-10-25","8.352","392"
"V1043","2016-10-26","8.37","375"
"V1044","2016-10-27","8.268","375"
"V1045","2016-10-28","7.806","466"
"V1046","2016-10-29","7.938","557"
"V1047","2016-10-30","7.611","500"
"V1048","2016-10-31","7.473","483"
"V1049","2016-11-01","7.676","416"
"V1050","2016-11-02","8.17","421"
"V1051","2016-11-03","8.653","289"
"V1052","2016-11-04","8.766","459"
"V1053","2016-11-05","9.044","495"
"V1054","2016-11-06","9.08","438"
"V1055","2016-11-07","8.959","412"
"V1056","2016-11-08","9.301","373"
"V1057","2016-11-09","9.218","321"
"V1058","2016-11-10","9.812","542"
"V1059","2016-11-11","9.423","405"
"V1060","2016-11-12","9.459","555"
"V1061","2016-11-13","9.398","475"
"V1062","2016-11-14","9.102","356"
"V1063","2016-11-15","9.175","372"
"V1064","2016-11-16","9.192","345"
"V1065","2016-11-17","9.067","340"
"V1066","2016-11-18","9.238","380"
"V1067","2016-11-19","9.401","463"
"V1068","2016-11-20","9.259","433"
"V1069","2016-11-21","9.883","347"
"V1070","2016-11-22","8.852","330"
"V1071","2016-11-23","8.551","432"
"V1072","2016-11-24","7.694","421"
"V1073","2016-11-25","7.626","501"
"V1074","2016-11-26","7.769","522"
"V1075","2016-11-27","7.819","528"
"V1076","2016-11-28","7.783","456"
"V1077","2016-11-29","8.363","585"
"V1078","2016-11-30","9.357","606"
"V1079","2016-12-01","9.925","590"
"V1080","2016-12-02","10.006","648"
"V1081","2016-12-03","10","582"
"V1082","2016-12-04","9.868","546"
"V1083","2016-12-05","9.878","389"
"V1084","2016-12-06","9.672","467"
"V1085","2016-12-07","9.589","435"
"V1086","2016-12-08","9.609","417"
"V1087","2016-12-09","9.81","445"
"V1088","2016-12-10","9.874","567"
"V1089","2016-12-11","9.771","442"
"V1090","2016-12-12","9.859","382"
"V1091","2016-12-13","9.441","395"
"V1092","2016-12-14","9.286","368"
"V1093","2016-12-15","8.631","420"
"V1094","2016-12-16","8.544","464"
"V1095","2016-12-17","8.503","529"
"V1096","2016-12-18","8.673","471"
"V1097","2016-12-19","8.44","428"
"V1098","2016-12-20","8.127","434"
"V1099","2016-12-21","8.385","404"
"V1100","2016-12-22","8.608","498"
"V1101","2016-12-23","7.867","491"
"V1102","2016-12-24","8.383","645"
"V1103","2016-12-25","8.768","754"
"V1104","2016-12-26","8.793","770"
"V1105","2016-12-27","8.556","666"
"V1106","2016-12-28","8.86","651"
"V1107","2016-12-29","9.102","551"
"V1108","2016-12-30","8.847","661"
"V1109","2016-12-31","8.788","535"
"V1110","2017-01-01","8.849","564"
"V1111","2017-01-02","9.082","592"
"V1112","2017-01-03","9.355","538"
"V1113","2017-01-04","9.235","566"
"V1114","2017-01-05","9.316","560"
"V1115","2017-01-06","9.7","484"
"V1116","2017-01-07","9.825","565"
"V1117","2017-01-08","10.029","602"
"V1118","2017-01-09","10.152","492"
"V1119","2017-01-10","10.139","518"
"V1120","2017-01-11","9.899","493"
"V1121","2017-01-12","9.822","438"
"V1122","2017-01-13","9.812","621"
"V1123","2017-01-14","10.278","572"
"V1124","2017-01-15","10.546","470"
"V1125","2017-01-16","10.518","425"
"V1126","2017-01-17","10.699","388"
"V1127","2017-01-18","10.595","421"
"V1128","2017-01-19","10.421","421"
"V1129","2017-01-20","10.14","440"
"V1130","2017-01-21","10.419","471"
"V1131","2017-01-22","10.606","516"
"V1132","2017-01-23","11.287","518"
"V1133","2017-01-24","11.262","491"
"V1134","2017-01-25","11.342","516"
"V1135","2017-01-26","12.017","501"
"V1136","2017-01-27","11.953","533"
"V1137","2017-01-28","12.319","619"
"V1138","2017-01-29","12.019","716"
"V1139","2017-01-30","12.204","522"
"V1140","2017-01-31","12.265","471"
"V1141","2017-02-01","11.768","502"
"V1142","2017-02-02","11.87","418"
"V1143","2017-02-03","11.943","474"
"V1144","2017-02-04","12.225","583"
"V1145","2017-02-05","12.395","461"
"V1146","2017-02-06","12.099","390"
"V1147","2017-02-07","12.21","408"
"V1148","2017-02-08","12.217","370"
"V1149","2017-02-09","12.067","405"
"V1150","2017-02-10","12.32","533"
"V1151","2017-02-11","13.092","526"
"V1152","2017-02-12","12.667","508"
"V1153","2017-02-13","12.596","391"
"V1154","2017-02-14","12.721","342"
"V1155","2017-02-15","12.032","437"
"V1156","2017-02-16","12.38","391"
"V1157","2017-02-17","12.311","421"
"V1158","2017-02-18","12.185","522"
"V1159","2017-02-19","11.833","516"
"V1160","2017-02-20","11.671","478"
"V1161","2017-02-21","11.811","388"
"V1162","2017-02-22","12.206","410"
"V1163","2017-02-23","12.068","427"
"V1164","2017-02-24","11.979","456"
"V1165","2017-02-25","12.739","519"
"V1166","2017-02-26","12.553","456"
"V1167","2017-02-27","12.176","391"
"V1168","2017-02-28","12.429","413"
"V1169","2017-03-01","12.435","392"
"V1170","2017-03-02","12.669","384"
"V1171","2017-03-03","12.66","400"
"V1172","2017-03-04","12.657","496"
"V1173","2017-03-05","12.688","449"
"V1174","2017-03-06","12.699","327"
"V1175","2017-03-07","12.781","357"
"V1176","2017-03-08","12.653","322"
"V1177","2017-03-09","12.648","332"
"V1178","2017-03-10","12.618","422"
"V1179","2017-03-11","13.15","446"
"V1180","2017-03-12","13.357","353"
"V1181","2017-03-13","13.243","332"
"V1182","2017-03-14","13.224","323"
"V1183","2017-03-15","13.734","298"
"V1184","2017-03-16","13.774","513"
"V1185","2017-03-17","14.83","704"
"V1186","2017-03-18","15.225","647"
"V1187","2017-03-19","14.823","496"
"V1188","2017-03-20","14.73","493"
"V1189","2017-03-21","15.035","405"
"V1190","2017-03-22","15.085","412"
"V1191","2017-03-23","14.568","363"
"V1192","2017-03-24","14.221","436"
"V1193","2017-03-25","13.947","456"
"V1194","2017-03-26","13.261","450"
"V1195","2017-03-27","12.734","414"
"V1196","2017-03-28","12.909","341"
"V1197","2017-03-29","13.035","351"
"V1198","2017-03-30","12.838","335"
"V1199","2017-03-31","13.038","389"
"V1200","2017-04-01","13.177","462"
"V1201","2017-04-02","13.11","401"
"V1202","2017-04-03","13.057","357"
"V1203","2017-04-04","13.365","284"
"V1204","2017-04-05","13.556","295"
"V1205","2017-04-06","13.113","342"
"V1206","2017-04-07","13.351","314"
"V1207","2017-04-08","13.328","384"
"V1208","2017-04-09","13.304","383"
"V1209","2017-04-10","12.974","345"
"V1210","2017-04-11","12.96","348"
"V1211","2017-04-12","12.962","304"
"V1212","2017-04-13","13.136","344"
"V1213","2017-04-14","13.267","349"
"V1214","2017-04-15","13.471","363"
"V1215","2017-04-16","13.519","407"
"V1216","2017-04-17","13.587","368"
"V1217","2017-04-18","13.76","368"
"V1218","2017-04-19","13.452","353"
"V1219","2017-04-20","13.321","332"
"V1220","2017-04-21","13.211","367"
"V1221","2017-04-22","13.324","438"
"V1222","2017-04-23","13.304","364"
"V1223","2017-04-24","13.356","318"
"V1224","2017-04-25","13.299","301"
"V1225","2017-04-26","13.511","237"
"V1226","2017-04-27","13.481","305"
"V1227","2017-04-28","13.496","325"
"V1228","2017-04-29","13.57","398"
"V1229","2017-04-30","13.558","415"
"V1230","2017-05-01","14.835","311"
"V1231","2017-05-02","13.456","311"
"V1232","2017-05-03","13.473","304"
"V1233","2017-05-04","13.846","293"
"V1234","2017-05-05","13.441","373"
"V1235","2017-05-06","13.515","355"
"V1236","2017-05-07","13.349","351"
"V1237","2017-05-08","13.349","271"
"V1238","2017-05-09","13.481","254"
"V1239","2017-05-10","13.519","269"
"V1240","2017-05-11","13.637","259"
"V1241","2017-05-12","13.647","346"
"V1242","2017-05-13","13.684","363"
"V1243","2017-05-14","13.532","311"
"V1244","2017-05-15","13.816","264"
"V1245","2017-05-16","14.162","248"
"V1246","2017-05-17","14.487","205"
"V1247","2017-05-18","14.018","255"
"V1248","2017-05-19","14.15","295"
"V1249","2017-05-20","14.047","283"
"V1250","2017-05-21","13.831","317"
"V1251","2017-05-22","14.391","235"
"V1252","2017-05-23","14.069","287"
"V1253","2017-05-24","11.789","807"
"V1254","2017-05-25","12.894","484"
"V1255","2017-05-26","13.476","407"
"V1256","2017-05-27","13.644","442"
"V1257","2017-05-28","13.765","356"
"V1258","2017-05-29","13.714","327"
"V1259","2017-05-30","13.224","324"
"V1260","2017-05-31","13.108","387"
"V1261","2017-06-01","13.668","352"
"V1262","2017-06-02","13.999","320"
"V1263","2017-06-03","14.358","347"
"V1264","2017-06-04","14.277","350"
"V1265","2017-06-05","14.296","308"
"V1266","2017-06-06","13.979","297"
"V1267","2017-06-07","13.693","304"
"V1268","2017-06-08","13.773","252"
"V1269","2017-06-09","13.836","305"
"V1270","2017-06-10","13.669","280"
"V1271","2017-06-11","13.564","266"
"V1272","2017-06-12","13.148","277"
"V1273","2017-06-13","13.215","246"
"V1274","2017-06-14","13.158","224"
"V1275","2017-06-15","12.659","252"
"V1276","2017-06-16","12.856","296"
"V1277","2017-06-17","12.871","265"
"V1278","2017-06-18","12.653","255"
"V1279","2017-06-19","12.695","267"
"V1280","2017-06-20","12.663","267"
"V1281","2017-06-21","12.685","257"
"V1282","2017-06-22","11.854","315"
"V1283","2017-06-23","10.699","476"
"V1284","2017-06-24","10.917","358"
"V1285","2017-06-25","10.867","360"
"V1286","2017-06-26","10.799","333"
"V1287","2017-06-27","10.977","342"
"V1288","2017-06-28","11.181","316"
"V1289","2017-06-29","11.259","329"
"V1290","2017-06-30","11.53","337"
"V1291","2017-07-01","11.894","310"
"V1292","2017-07-02","11.227","318"
"V1293","2017-07-03","11.637","331"
"V1294","2017-07-04","11.627","314"
"V1295","2017-07-05","11.986","310"
"V1296","2017-07-06","12.316","303"
"V1297","2017-07-07","12.279","352"
"V1298","2017-07-08","12.273","411"
"V1299","2017-07-09","12.426","286"
"V1300","2017-07-10","12.455","325"
"V1301","2017-07-11","12.396","306"
"V1302","2017-07-12","12.907","273"
"V1303","2017-07-13","12.892","267"
"V1304","2017-07-14","12.871","278"
"V1305","2017-07-15","13.089","298"
"V1306","2017-07-16","12.923","325"
"V1307","2017-07-17","13.506","278"
"V1308","2017-07-18","13.726","336"
"V1309","2017-07-19","13.92","301"
"V1310","2017-07-20","14.154","318"
"V1311","2017-07-21","14.29","304"
"V1312","2017-07-22","14.335","317"
"V1313","2017-07-23","16.554","356"
"V1314","2017-07-24","13.667","349"
"V1315","2017-07-25","14.617","306"
"V1316","2017-07-26","14.689","249"
"V1317","2017-07-27","14.545","261"
"V1318","2017-07-28","14.989","263"
"V1319","2017-07-29","14.974","234"
"V1320","2017-07-30","14.475","257"
"V1321","2017-07-31","14.67","297"
"V1322","2017-08-01","14.705","268"
"V1323","2017-08-02","15.171","241"
"V1324","2017-08-03","15.257","274"
"V1325","2017-08-04","15.374","296"
"V1326","2017-08-05","15.186","271"
"V1327","2017-08-06","14.932","324"
"V1328","2017-08-07","15.065","326"
"V1329","2017-08-08","14.993","287"
"V1330","2017-08-09","15.192","301"
"V1331","2017-08-10","15.005","247"
"V1332","2017-08-11","15.111","280"
"V1333","2017-08-12","14.857","275"
"V1334","2017-08-13","14.896","261"
"V1335","2017-08-14","14.724","273"
"V1336","2017-08-15","14.74","268"
"V1337","2017-08-16","14.826","271"
"V1338","2017-08-17","14.226","237"
"V1339","2017-08-18","14.459","264"
"V1340","2017-08-19","14.245","256"
"V1341","2017-08-20","14.067","273"
"V1342","2017-08-21","14.299","268"
"V1343","2017-08-22","14.22","220"
"V1344","2017-08-23","14.214","205"
"V1345","2017-08-24","14.127","214"
"V1346","2017-08-25","14.358","204"
"V1347","2017-08-26","14.307","235"
"V1348","2017-08-27","13.992","252"
"V1349","2017-08-28","14.148","223"
"V1350","2017-08-29","14.329","221"
"V1351","2017-08-30","14.147","223"
"V1352","2017-08-31","14.342","248"
"V1353","2017-09-01","13.948","272"
"V1354","2017-09-02","14.445","306"
"V1355","2017-09-03","14.563","260"
"V1356","2017-09-04","15.648","279"
"V1357","2017-09-05","14.514","223"
"V1358","2017-09-06","14.771","208"
"V1359","2017-09-07","14.7","203"
"V1360","2017-09-08","15.059","240"
"V1361","2017-09-09","15.009","250"
"V1362","2017-09-10","21.673","229"
"V1363","2017-09-11","14.609","204"
"V1364","2017-09-12","14.667","183"
"V1365","2017-09-13","14.202","220"
"V1366","2017-09-14","14.037","250"
"V1367","2017-09-15","15.139","401"
"V1368","2017-09-16","15.395","393"
"V1369","2017-09-17","14.726","285"
"V1370","2017-09-18","14.626","235"
"V1371","2017-09-19","14.651","199"
"V1372","2017-09-20","15.247","193"
"V1373","2017-09-21","14.964","189"
"V1374","2017-09-22","14.228","247"
"V1375","2017-09-23","14.095","314"
"V1376","2017-09-24","14.077","275"
"V1377","2017-09-25","14.051","207"
"V1378","2017-09-26","14.123","179"
"V1379","2017-09-27","13.563","184"
"V1380","2017-09-28","13.392","188"
"V1381","2017-09-29","14.125","216"
"V1382","2017-09-30","13.347","238"
"V1383","2017-10-01","13.057","241"
"V1384","2017-10-02","15.172","184"
"V1385","2017-10-03","12.891","200"
"V1386","2017-10-04","13.065","196"
"V1387","2017-10-05","12.659","195"
"V1388","2017-10-06","12.84","205"
"V1389","2017-10-07","12.957","266"
"V1390","2017-10-08","12.852","278"
"V1391","2017-10-09","12.607","219"
"V1392","2017-10-10","12.82","185"
"V1393","2017-10-11","12.666","196"
"V1394","2017-10-12","12.888","175"
"V1395","2017-10-13","12.765","223"
"V1396","2017-10-14","12.994","288"
"V1397","2017-10-15","13.241","278"
"V1398","2017-10-16","13.162","211"
"V1399","2017-10-17","13.024","193"
"V1400","2017-10-18","12.919","182"
"V1401","2017-10-19","12.894","185"
"V1402","2017-10-20","12.857","238"
"V1403","2017-10-21","13.213","264"
"V1404","2017-10-22","12.932","253"
"V1405","2017-10-23","12.935","228"
"V1406","2017-10-24","12.506","181"
"V1407","2017-10-25","12.593","213"
"V1408","2017-10-26","11.956","194"
"V1409","2017-10-27","11.806","233"
"V1410","2017-10-28","11.91","231"
"V1411","2017-10-29","11.654","247"
"V1412","2017-10-30","11.809","217"
"V1413","2017-10-31","11.907","224"
"V1414","2017-11-01","11.468","209"
"V1415","2017-11-02","12.095","206"
"V1416","2017-11-03","12.146","190"
"V1417","2017-11-04","12.115","198"
"V1418","2017-11-05","11.934","176"
"V1419","2017-11-06","11.288","187"
"V1420","2017-11-07","11.864","200"
"V1421","2017-11-08","11.629","162"
"V1422","2017-11-09","11.519","170"
"V1423","2017-11-10","11.313","212"
"V1424","2017-11-11","11.281","263"
"V1425","2017-11-12","11.62","215"
"V1426","2017-11-13","11.58","157"
"V1427","2017-11-14","11.102","196"
"V1428","2017-11-15","11.075","233"
"V1429","2017-11-16","11.38","155"
"V1430","2017-11-17","11.338","172"
"V1431","2017-11-18","11.297","259"
"V1432","2017-11-19","11.35","203"
"V1433","2017-11-20","11.082","177"
"V1434","2017-11-21","11.127","170"
"V1435","2017-11-22","11.019","161"
"V1436","2017-11-23","9.761","299"
"V1437","2017-11-24","9.945","271"
"V1438","2017-11-25","9.965","300"
"V1439","2017-11-26","10.109","299"
"V1440","2017-11-27","10.046","252"
"V1441","2017-11-28","10.375","223"
"V1442","2017-11-29","10.674","195"
"V1443","2017-11-30","10.573","194"
"V1444","2017-12-01","10.928","235"
"V1445","2017-12-02","11.451","251"
"V1446","2017-12-03","11.448","241"
"V1447","2017-12-04","11.545","174"
"V1448","2017-12-05","11.609","186"
"V1449","2017-12-06","11.783","207"
"V1450","2017-12-07","12.355","174"
"V1451","2017-12-08","11.888","241"
"V1452","2017-12-09","12.282","269"
"V1453","2017-12-10","12.285","215"
"V1454","2017-12-11","11.933","228"
"V1455","2017-12-12","12.228","179"
"V1456","2017-12-13","12.068","178"
"V1457","2017-12-14","12.346","170"
"V1458","2017-12-15","12.528","211"
"V1459","2017-12-16","13.486","210"
"V1460","2017-12-17","12.506","194"
"V1461","2017-12-18","12.68","151"
"V1462","2017-12-19","12.693","178"
"V1463","2017-12-20","12.382","197"
"V1464","2017-12-21","12.034","244"
"V1465","2017-12-22","11.677","275"
"V1466","2017-12-23","11.781","277"
"V1467","2017-12-24","12.048","270"
"V1468","2017-12-25","12.949","392"
"V1469","2017-12-26","13.467","323"
"V1470","2017-12-27","13.856","349"
"V1471","2017-12-28","13.843","314"
"V1472","2017-12-29","14.054","293"
"V1473","2017-12-30","13.675","335"
"V1474","2017-12-31","13.419","289"
"V1475","2018-01-01","13.386","311"
"V1476","2018-01-02","13.272","303"
"V1477","2018-01-03","13.355","317"
"V1478","2018-01-04","13.423","286"
"V1479","2018-01-05","13.881","295"
"V1480","2018-01-06","14.244","282"
"V1481","2018-01-07","14.388","263"
"V1482","2018-01-08","14.66","212"
"V1483","2018-01-09","14.832","230"
"V1484","2018-01-10","14.829","210"
"V1485","2018-01-11","14.818","268"
"V1486","2018-01-12","15.091","336"
"V1487","2018-01-13","15.749","373"
"V1488","2018-01-14","15.918","353"
"V1489","2018-01-15","15.701","295"
"V1490","2018-01-16","16.1","301"
"V1491","2018-01-17","15.81","282"
"V1492","2018-01-18","15.52","262"
"V1493","2018-01-19","15.987","273"
"V1494","2018-01-20","16.546","277"
"V1495","2018-01-21","16.331","258"
"V1496","2018-01-22","16.242","299"
"V1497","2018-01-23","16.119","242"
"V1498","2018-01-24","16.241","241"
"V1499","2018-01-25","16.157","278"
"V1500","2018-01-26","16.199","288"
"V1501","2018-01-27","15.764","344"
"V1502","2018-01-28","15.781","332"
"V1503","2018-01-29","16.113","274"
"V1504","2018-01-30","15.786","204"
"V1505","2018-01-31","16.038","181"
"V1506","2018-02-01","16.146","191"
"V1507","2018-02-02","16.218","214"
"V1508","2018-02-03","16.605","243"
"V1509","2018-02-04","16.04","262"
"V1510","2018-02-05","16.313","199"
"V1511","2018-02-06","16.108","194"
"V1512","2018-02-07","15.989","189"
"V1513","2018-02-08","15.802","162"
"V1514","2018-02-09","16.115","236"
"V1515","2018-02-10","15.887","245"
"V1516","2018-02-11","15.827","251"
"V1517","2018-02-12","15.731","221"
"V1518","2018-02-13","18.251","162"
"V1519","2018-02-14","15.868","167"
"V1520","2018-02-15","16.004","202"
"V1521","2018-02-16","16.146","408"
"V1522","2018-02-17","17.022","429"
"V1523","2018-02-18","16.53","341"
"V1524","2018-02-19","16.629","259"
"V1525","2018-02-20","16.708","238"
"V1526","2018-02-21","16.657","239"
"V1527","2018-02-22","16.789","216"
"V1528","2018-02-23","16.525","264"
"V1529","2018-02-24","16.632","270"
"V1530","2018-02-25","16.541","234"
"V1531","2018-02-26","16.625","209"
"V1532","2018-02-27","16.483","175"
"V1533","2018-02-28","16.423","182"
"V1534","2018-03-01","16.129","176"
"V1535","2018-03-02","15.976","246"
"V1536","2018-03-03","16.208","221"
"V1537","2018-03-04","16.123","216"
"V1538","2018-03-05","16.26","196"
"V1539","2018-03-06","16.728","166"
"V1540","2018-03-07","16.318","203"
"V1541","2018-03-08","16.415","184"
"V1542","2018-03-09","16.342","187"
"V1543","2018-03-10","16.28","229"
"V1544","2018-03-11","16.065","228"
"V1545","2018-03-12","17.514","156"
"V1546","2018-03-13","15.89","180"
"V1547","2018-03-14","15.401","171"
"V1548","2018-03-15","15.659","163"
"V1549","2018-03-16","15.586","171"
"V1550","2018-03-17","15.761","208"
"V1551","2018-03-18","15.341","201"
"V1552","2018-03-19","15.299","171"
"V1553","2018-03-20","15.181","152"
"V1554","2018-03-21","15.277","164"
"V1555","2018-03-22","14.971","158"
"V1556","2018-03-23","15.186","184"
"V1557","2018-03-24","14.923","204"
"V1558","2018-03-25","14.341","190"
"V1559","2018-03-26","14.184","159"
"V1560","2018-03-27","14.636","222"
"V1561","2018-03-28","13.951","220"
"V1562","2018-03-29","14.151","184"
"V1563","2018-03-30","13.187","349"
"V1564","2018-03-31","13.472","257"
"V1565","2018-04-01","13.709","243"
"V1566","2018-04-02","14.33","219"
"V1567","2018-04-03","14.484","234"
"V1568","2018-04-04","14.414","210"
"V1569","2018-04-05","14.456","208"
"V1570","2018-04-06","14.348","205"
"V1571","2018-04-07","14.797","203"
"V1572","2018-04-08","14.4","196"
"V1573","2018-04-09","15.616","184"
"V1574","2018-04-10","14.355","185"
"V1575","2018-04-11","14.357","188"
"V1576","2018-04-12","14.112","152"
"V1577","2018-04-13","14.408","177"
"V1578","2018-04-14","14.566","196"
"V1579","2018-04-15","14.425","177"
"V1580","2018-04-16","14.505","175"
"V1581","2018-04-17","14.005","150"
"V1582","2018-04-18","14.524","140"
"V1583","2018-04-19","14.493","159"
"V1584","2018-04-20","14.298","175"
"V1585","2018-04-21","14.215","189"
"V1586","2018-04-22","14.192","210"
"V1587","2018-04-23","14.407","131"
"V1588","2018-04-24","14.461","148"
"V1589","2018-04-25","14.425","148"
"V1590","2018-04-26","14.135","160"
"V1591","2018-04-27","14.255","185"
"V1592","2018-04-28","14.406","195"
"V1593","2018-04-29","14.417","177"
"V1594","2018-04-30","14.631","187"
"V1595","2018-05-01","14.421","175"
"V1596","2018-05-02","17.201","162"
"V1597","2018-05-03","14.524","162"
"V1598","2018-05-04","14.975","150"
"V1599","2018-05-05","14.931","193"
"V1600","2018-05-06","14.991","169"
"V1601","2018-05-07","14.744","138"
"V1602","2018-05-08","14.684","172"
"V1603","2018-05-09","13.829","187"
"V1604","2018-05-10","14.15","167"
"V1605","2018-05-11","13.916","176"
"V1606","2018-05-12","14.495","204"
"V1607","2018-05-13","14.87","160"
"V1608","2018-05-14","14.408","158"
"V1609","2018-05-15","14.392","135"
"V1610","2018-05-16","14.274","138"
"V1611","2018-05-17","14.839","135"
"V1612","2018-05-18","13.816","169"
"V1613","2018-05-19","13.588","186"
"V1614","2018-05-20","13.956","190"
"V1615","2018-05-21","14.016","138"
"V1616","2018-05-22","16.071","134"
"V1617","2018-05-23","13.888","142"
"V1618","2018-05-24","13.668","151"
"V1619","2018-05-25","13.901","192"
"V1620","2018-05-26","13.706","166"
"V1621","2018-05-27","25.484","160"
"V1622","2018-05-28","13.583","154"
"V1623","2018-05-29","13.712","167"
"V1624","2018-05-30","15.86","142"
"V1625","2018-05-31","13.75","173"
"V1626","2018-06-01","13.699","181"
"V1627","2018-06-02","14.258","157"
"V1628","2018-06-03","14.018","163"
"V1629","2018-06-04","15.113","140"
"V1630","2018-06-05","13.76","130"
"V1631","2018-06-06","13.834","144"
"V1632","2018-06-07","13.808","120"
"V1633","2018-06-08","13.762","145"
"V1634","2018-06-09","13.42","158"
"V1635","2018-06-10","12.92","144"
"V1636","2018-06-11","13.072","165"
"V1637","2018-06-12","13.278","143"
"V1638","2018-06-13","13.09","223"
"V1639","2018-06-14","11.818","251"
"V1640","2018-06-15","12.394","170"
"V1641","2018-06-16","12.489","162"
"V1642","2018-06-17","12.361","173"
"V1643","2018-06-18","12.785","169"
"V1644","2018-06-19","12.765","163"
"V1645","2018-06-20","12.466","175"
"V1646","2018-06-21","12.379","202"
"V1647","2018-06-22","11.074","291"
"V1648","2018-06-23","11.039","242"
"V1649","2018-06-24","10.694","243"
"V1650","2018-06-25","10.808","200"
"V1651","2018-06-26","11.054","197"
"V1652","2018-06-27","11.666","168"
"V1653","2018-06-28","11.201","167"
"V1654","2018-06-29","12.009","171"
"V1655","2018-06-30","11.557","160"
"V1656","2018-07-01","11.476","187"
"V1657","2018-07-02","11.278","195"
"V1658","2018-07-03","11.517","188"
"V1659","2018-07-04","11.504","226"
"V1660","2018-07-05","11.812","217"
"V1661","2018-07-06","13.036","171"
"V1662","2018-07-07","13.413","133"
"V1663","2018-07-08","13.712","177"
"V1664","2018-07-09","13.783","172"
"V1665","2018-07-10","13.829","167"
